service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2016/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2830550,128661,22,2830550,94352,30,195
2016/09/01 04:00:00+00,Rail,Green Line,4251458,202450,21,5365164.31,178839,30,196
2016/09/01 04:00:00+00,Rail,Orange Line,4665536,222168,21,5543596.88,184787,30,197
2016/09/01 04:00:00+00,Rail,Red Line,5665667,269794,21,6750190.4,225006,30,198
2016/09/01 04:00:00+00,Bus,Silver Line,724110,34481,21,760686,25356,30,199
2016/09/01 04:00:00+00,The RIDE,The RIDE,150322,7158,21,179775,5993,30,200
2016/10/01 04:00:00+00,Ferry,Boat-F1,69678,3318,21,,,31,201
2017/02/01 05:00:00+00,Rail,Red Line,4668384,245704,19,5677125,202754,28,202
2017/02/01 05:00:00+00,Bus,Silver Line,603358,31756,19,612411,21872,28,203
2017/02/01 05:00:00+00,The RIDE,The RIDE,122620,6454,19,150605,5379,28,204
2017/03/01 05:00:00+00,Rail,Blue Line,1425951,61998,23,1675964.7,54063,31,205
2017/03/01 05:00:00+00,Ferry,Boat-F1,66563,2894,23,,,31,206
2017/03/01 05:00:00+00,Ferry,Boat-F3,19191,834,23,,,31,207
2017/03/01 05:00:00+00,Ferry,Boat-F4,11808,513,23,,,31,208
2017/03/01 05:00:00+00,Bus,Bus,7823065,340133,23,8595017,277259,31,209
2017/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2742436,119236,23,3037902,97997,31,210
2017/03/01 05:00:00+00,Rail,Green Line,4189865,182168,23,5004618.609999999,161439,31,211
2017/03/01 05:00:00+00,Rail,Orange Line,4697647,204246,23,5382112.319999999,173617,31,212
2017/03/01 05:00:00+00,Rail,Red Line,5718230,248619,23,6541686.4,211022,31,213
2017/03/01 05:00:00+00,Bus,Silver Line,770216,33488,23,763541,24630,31,214
2017/03/01 05:00:00+00,The RIDE,The RIDE,157978,6869,23,183220,5910,31,215
2017/04/01 04:00:00+00,Rail,Blue Line,1342105,67105,20,1727232,57574,30,216
2017/04/01 04:00:00+00,Ferry,Boat-F1,61364,3068,20,,,30,217
2017/04/01 04:00:00+00,Ferry,Boat-F3,19804,990,20,,,30,218
2017/04/01 04:00:00+00,Ferry,Boat-F4,18395,920,20,,,30,219
2017/04/01 04:00:00+00,Bus,Bus,6911721,345586,20,8098478,269949,30,220
2017/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2438211,121911,20,2657512,88584,30,221
2017/04/01 04:00:00+00,Rail,Green Line,3984404,199220,20,5224940.659999999,174165,30,222
2017/04/01 04:00:00+00,Rail,Orange Line,4274634,213732,20,5249508.57,174984,30,223
2017/04/01 04:00:00+00,Rail,Red Line,5240524,262026,20,6434563.4,214485,30,224
2017/04/01 04:00:00+00,Bus,Silver Line,681787,34089,20,701721,23391,30,225
2017/04/01 04:00:00+00,The RIDE,The RIDE,141060,7053,20,173945,5798,30,226
2017/05/01 04:00:00+00,Rail,Blue Line,1478593,67209,22,1809394.9,58368,31,227
2017/05/01 04:00:00+00,Ferry,Boat-F1,82776,3942,21,,,31,228
2017/05/01 04:00:00+00,Ferry,Boat-F3,22938,1092,21,,,31,229
2017/05/01 04:00:00+00,Ferry,Boat-F4,19460,927,21,,,31,230
